parameter_name,human_estimate,std_error_human,z_value_human,p_value_human,robust_std_error_human,robust_z_value_human,robust_p_value_human,ai_estimate,std_error_ai,z_value_ai,p_value_ai,robust_std_error_ai,robust_z_value_ai,robust_p_value_ai,run_label,difference_ai_minus_human,sign_match
ASC_CAR,-0.1546326719892632,,,,0.0581634159301985,-2.6585899317680504,0.0078468405310971,-0.5518201046452106,,,,0.0360493355573197,-15.307358543898712,0.0,ai_run_03,-0.39718743265594736,1
ASC_TRAIN,-0.7011872849436409,,,,0.0825620075912611,-8.492856525667367,0.0,-1.189577737144672,,,,0.046488794533295,-25.588483183677813,0.0,ai_run_03,-0.48839045220103117,1
B_COST,-1.0837900371207712,,,,0.06822502323905,-15.885520966747592,0.0,-0.0332222567935821,,,,0.0039611326002263,-8.387060001900332,0.0,ai_run_03,1.0505677803271891,1
B_TIME,-1.277858956519671,,,,0.1042544189496028,-12.257120315805462,0.0,-0.4045341707041098,,,,0.038081651128661,-10.622810690045132,0.0,ai_run_03,0.8733247858155612,1
