parameter_name,ai_run_01,ai_run_02,ai_run_03,ai_mean_estimate,ai_std_estimate,ai_min_estimate,ai_max_estimate
ASC_CAR,-0.447852056987927,-0.6406882613384434,-0.5518201046452106,-0.5467868076571937,0.09651658399469859,-0.6406882613384434,-0.447852056987927
ASC_TRAIN,-1.1196980083987138,-1.220768304669359,-1.189577737144672,-1.176681350070915,0.051754601696140254,-1.220768304669359,-1.1196980083987138
B_COST,-0.0338559251964441,-0.0371210146186507,-0.0332222567935821,-0.034733065536225634,0.0020921542788206273,-0.0371210146186507,-0.0332222567935821
B_TIME,-0.4379397211429081,-0.3866132347639601,-0.4045341707041098,-0.40969570887032597,0.02604962875326754,-0.4379397211429081,-0.3866132347639601
